iteration,curLapTime,lastLapTime,stucktimer,damage,distRaced,distFromStart,racePos,z,speedZ,speedY,speedX,targetSpeed,rpm,skid,slip,trackPos,angle
400, 7.55,0.0,0,0.0,119.626,14.6255,9.0,0.339192,-0.0563727,0.312047,114.622,333,8716.29,0,0,0.0831854,-0.0148331
410, 7.77,0.0,0,0.0,126.692,21.6917,9.0,0.338359,-0.107355,0.113551,110.756,333,6526.97,0,0,0.10265,-0.0132286
420, 7.99,0.0,0,0.0,133.458,28.4577,9.0,0.339473,-0.0978361,0.0382567,113.415,333,8635.94,0,0,0.118142,-0.010798
430, 8.19,0.0,0,0.0,139.905,34.9047,9.0,0.33862,-0.132047,0.0446296,118.571,333,8863.89,0,0,0.129927,-0.00860505
440, 8.39,0.0,0,0.0,146.635,41.6352,9.0,0.337914,-0.135046,0.0552941,123.653,333,9360.4,0,0,0.139537,-0.00618469
450, 8.59,0.0,0,0.0,153.631,48.6307,9.0,0.337238,-0.134234,-0.0173797,127.57,333,9576.39,0,0,0.148415,-0.0065008
460, 8.79,0.0,0,0.0,160.694,55.6942,9.0,0.336627,-0.106811,-0.0125665,123.482,333,5860.8,0,0,0.15574,-0.006329
470, 8.99,0.0,0,0.0,167.662,62.662,9.0,0.337467,-0.091666,0.0455811,127.587,333,7026.09,0,0,0.162398,-0.00535771
480, 9.19,0.0,0,0.0,174.874,69.8739,9.0,0.336667,-0.0708961,0.0162112,131.999,333,7274.62,0,0,0.169656,-0.00529788
490, 9.39,0.0,0,0.0,182.332,77.3315,9.0,0.335967,-0.0278378,-0.0262985,136.436,333,7516.17,0,0,0.176425,-0.00566041
500, 9.59,0.0,0,0.0,190.036,85.036,9.0,0.335258,0.0266797,-0.0380992,140.885,333,7758.68,0,0,0.183083,-0.00559366
510, 9.79,0.0,0,0.0,197.673,92.6729,9.0,0.33516,0.125929,0.0433966,136.982,333,7647.96,0,0,0.189742,-0.00487429
520, 9.99,0.0,0,0.0,205.408,100.408,9.0,0.335253,0.165738,0.0739286,141.424,333,7789.6,0,0,0.1964,-0.00396699
530, 10.19,0.0,0,0.0,213.39,108.389,9.0,0.334363,0.269317,0.0179889,145.881,333,8030.19,0,0,0.203058,-0.00414337
540, 10.39,0.0,0,0.0,221.619,116.619,9.0,0.333508,0.389562,-0.0170396,150.344,149.717,8273.53,0,0,0.209717,-0.00444405
550, 10.59,0.0,0,0.0,229.732,124.732,9.0,0.33363,0.538522,0.0184194,146.391,333,8078.24,0,0,0.216375,-0.00386359
560, 10.79,0.0,0,0.0,237.989,132.989,9.0,0.333371,0.650159,0.0750771,150.836,333,8303.07,0,0,0.222479,-0.00312394
