iteration,curLapTime,lastLapTime,stucktimer,damage,distRaced,distFromStart,racePos,z,speedZ,speedY,speedX,targetSpeed,rpm,skid,slip,trackPos,angle
350, 6.45,0.0,0,0.0,149.787,124.787,2.0,0.332392,-0.00642882,0.302029,160.412,333,8819.65,0,0,0.984489,-0.0100345
360, 6.67,0.0,0,0.0,159.722,134.722,1.0,0.331526,0.0356408,-0.120331,164.698,333,9077.92,0,0,0.998014,-0.00983992
370, 6.89,0.0,0,0.0,169.573,144.573,1.0,0.330395,0.039835,6.41823,152.437,70.8506237113,7096.4,0,0,1.00592,0.0409557
380, 7.11,0.0,0,0.0,178.65,153.65,1.0,0.334402,-0.0947426,8.32001,147.254,333,8542.19,0,0,0.959473,0.138433
390, 7.33,0.0,0,0.0,187.665,162.665,1.0,0.33374,-0.0170427,-0.618932,149.841,333,8262.09,0,0,0.835702,0.0996947
400, 7.55,0.0,0,0.0,196.908,171.908,1.0,0.333221,-0.0252839,-0.671507,153.95,333,8398.25,0,0,0.720044,0.0787612
410, 7.77,0.0,0,0.0,206.413,181.413,1.0,0.332483,-0.0258491,-0.785472,157.862,333,8676.4,0,0,0.628418,0.055702
420, 7.99,0.0,0,0.0,216.185,191.185,1.0,0.331713,-0.0292517,-0.511806,162.31,333,8900.69,0,0,0.561051,0.0409908
430, 8.19,0.0,0,0.0,225.305,200.305,1.0,0.33098,-0.0306836,-0.508719,166.172,333,9100.75,0,0,0.514404,0.0293989
440, 8.39,0.0,0,0.0,234.638,209.638,1.0,0.330233,-0.0327821,-0.392571,169.868,333,9291.14,0,0,0.480924,0.0200025
450, 8.59,0.0,0,0.0,244.173,219.173,1.0,0.329514,-0.0359231,-0.213409,173.406,333,9474.26,0,0,0.456185,0.0157386
460, 8.79,0.0,0,0.0,253.882,228.882,1.0,0.328861,-0.0360923,-0.208995,175.944,333,7536.19,0,0,0.437183,0.0111899
470, 8.99,0.0,0,0.0,263.701,238.701,1.0,0.328436,-0.034447,-0.21743,178.123,333,7623.13,0,0,0.423926,0.00704863
480, 9.19,0.0,0,0.0,273.679,248.679,1.0,0.32785,-0.0397272,-0.0549707,181.081,333,7749.43,0,0,0.413436,0.00694076
490, 9.39,0.0,0,0.0,283.822,258.822,1.0,0.327206,-0.0429147,0.102907,184.03,333,7874.12,0,0,0.403654,0.00781675
500, 9.59,0.0,0,0.0,294.128,269.128,1.0,0.32655,-0.0429723,0.041483,186.966,333,7998.37,0,0,0.394507,0.00694939
510, 9.79,0.0,0,0.0,304.597,279.596,1.0,0.325891,-0.0429528,-0.12193,189.888,333,8121.96,0,0,0.38514,0.00550167
520, 9.99,0.0,0,0.0,315.227,290.227,1.0,0.325222,-0.0430184,-0.057841,192.796,333,8244.82,0,0,0.376294,0.00531178
530, 10.19,0.0,0,0.0,326.019,301.019,1.0,0.324543,-0.0428071,0.156079,195.689,333,8367.06,0,0,0.368034,0.00672618
540, 10.39,0.0,0,0.0,336.971,311.971,1.0,0.323879,-0.0455558,-0.0505408,198.536,333,8484.57,0,0,0.360628,0.00426822
550, 10.59,0.0,0,0.0,348.078,323.078,1.0,0.323185,-0.0464462,-0.242728,201.288,333,8597.64,0,0,0.354769,0.00155453
560, 10.79,0.0,0,0.0,359.336,334.336,1.0,0.322533,-0.0492944,-0.0843529,203.949,333,8706.91,0,0,0.351546,0.000834742
570, 10.99,0.0,0,0.0,370.739,345.739,1.0,0.321871,-0.0532713,0.078733,206.52,333,8812.5,0,0,0.351253,-7.05215e-05
580, 11.19,0.0,0,0.0,382.282,357.282,1.0,0.321243,-0.0588007,-0.137239,209.006,333,8914.78,0,0,0.354224,-0.00381676
590, 11.39,0.0,0,0.0,393.962,368.962,1.0,0.320614,-0.0634335,-0.244647,211.409,333,9013.54,0,0,0.360343,-0.00678555
600, 11.59,0.0,0,0.0,405.772,380.772,1.0,0.319906,-0.0581568,0.593611,213.725,227.744051539,9108.95,0,0,0.367798,0.00152921
610, 11.79,0.0,0,0.0,417.411,392.411,1.0,0.320099,0.0332961,0.652182,202.46,207.37290682,7746.49,0,0,0.363029,0.0101949
620, 11.99,0.0,0,0.0,428.712,403.712,1.0,0.3225,0.0214594,0.79883,203.153,191.519559897,8130.84,0,0,0.342187,0.0240362
630, 12.19,0.0,0,0.0,439.346,414.346,1.0,0.324202,0.122099,0.152937,179.626,183.621292657,7032.7,0,0,0.312687,0.0217962
640, 12.39,0.0,0,0.0,449.182,424.182,1.0,0.328754,0.070872,0.47126,177.846,182.937362555,7602.83,0,0,0.282064,0.0303373
650, 12.59,0.0,0,0.0,459.139,434.139,1.0,0.327797,0.0813738,0.688181,180.781,188.031988149,7737.83,0,0,0.237557,0.0437426
660, 12.79,0.0,0,0.0,468.741,443.741,1.0,0.328426,0.163429,0.778256,162.15,153.881798694,6249.3,0,0,0.183097,0.0478239
670, 12.99,0.0,0,0.0,477.143,452.142,1.0,0.332933,0.176445,0.224752,143.681,242.121078491,7560.45,0,0,0.134823,0.0462251
680, 13.19,0.0,0,0.0,485.218,460.218,1.0,0.334551,0.115306,0.382081,147.696,229.843631729,8127.78,0,0,0.0811117,0.0578447
690, 13.39,0.0,0,0.0,493.524,468.523,1.0,0.33395,0.0719139,-2.6806,150.063,138.408712253,7417.48,0,0,0.027124,0.0134316
700, 13.59,0.0,0,0.0,501.675,476.675,1.0,0.334175,0.044656,-0.244806,147.811,333,8123.63,0,0,0.00482585,0.00802523
710, 13.79,0.0,0,0.0,509.99,484.99,1.0,0.334379,-0.14862,-3.71506,151.37,190.988791842,8297.31,0,0,0.0261882,-0.0778208
720, 13.99,0.0,0,0.0,518.452,493.452,1.0,0.333797,-0.345909,-3.40383,154.457,188.885517197,8545.95,0,0,0.127547,-0.147325
730, 14.19,0.0,0,0.0,527.057,502.057,1.0,0.333023,-0.495031,-2.59883,157.705,225.29367085,8595.35,0,0,0.306029,-0.1846
740, 14.39,0.0,0,0.0,536.033,511.033,1.0,0.331545,-0.381608,-1.24315,160.995,268.101926229,8839.82,0,0,0.483863,-0.138845
750, 14.59,0.0,0,0.0,545.337,520.337,1.0,0.33099,-0.26941,-1.83949,164.242,282.806021571,8944.27,0,0,0.615651,-0.102636
760, 14.79,0.0,0,0.0,554.922,529.921,1.0,0.330364,-0.164579,-1.85614,167.287,274.123542241,9172.29,0,0,0.703305,-0.064084
770, 14.99,0.0,0,99.0,564.732,539.732,1.0,0.330099,-0.0596424,-3.44088,169.968,257.972493763,9251.93,0,0,0.733,-0.0376475
780, 15.19,0.0,0,243.0,574.661,549.66,1.0,0.329805,0.0381301,-27.6524,167.029,154.912225247,8730.74,0,0,0.729546,-0.161152
790, 15.39,0.0,0,243.0,584.352,559.352,1.0,0.332226,-0.0286672,-45.8919,156.84,105.180466849,8102.21,0,0,0.741735,-0.311496
800, 15.59,0.0,0,243.0,593.676,568.676,1.0,0.333975,-0.140756,-47.8169,149.008,101.657687921,7667.13,0,0,0.791395,-0.37019
810, 15.79,0.0,0,452.0,602.65,577.65,1.0,0.335274,-0.103654,-53.1107,142.727,99.2328046843,7432.08,0,0,0.869197,-0.403767
820, 15.99,0.0,0,452.0,611.383,586.383,1.0,0.342674,-0.0744707,-76.2435,123.163,96.5894860907,6385.21,0,0,0.934499,-0.628695
830, 16.21,0.0,0,452.0,620.489,595.489,1.0,0.342218,-0.133651,-71.0041,116.396,70.8506237113,8015.21,0,0,1.03917,-0.657753
840, 16.43,0.0,0,606.0,629.253,604.253,1.0,0.339529,-0.00270403,-72.0315,111.273,70.8506237113,7548.29,0,0,1.1592,-0.689422
850, 16.65,0.0,6,905.0,637.878,612.878,1.0,0.341976,0.00492674,-93.6217,87.5716,70.0,5714.44,0,0,1.26867,-0.915812
860, 16.87,0.0,16,916.0,645.918,620.918,1.0,0.343084,0.0369849,-91.9969,68.814,70.0,4640.88,0,0,1.2754,-0.869813
